1,99,212,141,73,5,2,48,257,131,41,110,270,5,264,0
110,203,111,5,3,3,5,101,96,1,138,228,2,263,0,264
249,112,1,111,2,2,89,45,1,125,217,110,256,0,263,5
156,1,89,238,83,5,73,1,117,248,98,1,1,256,2,270
5,2,4,3,238,115,4,236,228,3,226,0,1,110,228,110
5,6,3,3,88,6,198,256,26,218,0,226,98,217,138,41
2,58,42,3,81,112,282,109,214,0,218,3,248,125,1,131
17,55,58,2,205,226,61,41,0,214,26,228,117,1,96,257
232,93,3,114,188,8,193,0,41,109,256,236,1,45,101,48
109,52,159,236,2,168,0,193,61,282,198,4,73,89,5,2
5,207,297,99,225,0,168,8,226,112,6,115,5,2,3,5
152,211,97,5,0,225,2,188,205,81,88,238,83,2,3,73
279,29,210,0,5,99,236,114,2,3,3,3,238,111,5,141
8,251,0,210,97,297,159,3,58,42,3,4,89,1,111,212
250,0,251,29,211,207,52,93,55,58,6,2,1,112,203,99
0,250,8,279,152,5,109,232,17,2,5,5,156,249,110,1
