116,136,106,118,117,198,180,120,212,100,135,114,323,326,363,0
161,162,137,131,118,122,164,196,129,137,85,123,359,279,0,363
115,128,95,88,111,138,200,98,120,98,205,95,372,0,279,326
155,172,152,132,143,151,122,147,146,154,126,138,0,372,359,323
111,95,138,176,162,149,135,173,170,355,266,0,138,95,123,114
115,106,95,128,146,171,190,95,315,202,0,266,126,205,85,135
135,103,140,167,178,167,125,149,259,0,202,355,154,98,137,100
121,142,123,147,131,177,144,99,0,259,315,170,146,120,129,212
164,166,151,122,198,248,364,0,99,149,95,173,147,98,196,120
137,164,123,131,244,249,0,364,144,125,190,135,122,200,164,180
97,95,134,141,328,0,249,248,177,167,171,149,151,138,122,198
133,156,154,183,0,328,244,198,131,178,146,162,143,111,118,117
188,254,349,0,183,141,131,122,147,167,128,176,132,88,131,118
302,225,0,349,154,134,123,151,123,140,95,138,152,95,137,106
389,0,225,254,156,95,164,166,142,103,106,95,172,128,162,136
0,389,302,188,133,97,137,164,121,135,115,111,155,115,161,116
