29,3,100,542,2,5,2,3,86,32,574,2,4,3,258,2,328,2,503,4,6,605,2,40,68,359,51,284,2,238,42,72,78,2,9,9,5,2,289,95,3,510,4,40,30,101,16,529,2,2,2,2,143,2,216,3,239,60,16,22,261,45,177,0
6,33,2,269,2,2,22,2,24,2,28,35,3,2,162,2,2,2,328,10,2,12,9,5,2,548,2,78,2,4,2,11,2,2,498,26,274,52,2,281,59,549,2,573,2,2,4,4,169,15,2,247,156,134,3,132,5,592,11,102,610,260,0,177
2,5,3,25,2,4,563,89,13,2,9,26,208,2,2,36,13,32,334,2,160,28,339,290,4,53,44,4,65,199,2,2,61,3,98,2,2,192,3,2,69,188,15,518,61,2,16,2,2,329,3,231,531,28,3,508,14,33,28,546,509,0,260,45
2,2,2,136,2,3,147,2,4,2,65,39,8,2,35,6,30,25,572,3,50,128,34,224,2,319,70,28,2,265,2,2,3,2,278,2,55,50,7,57,26,546,2,554,2,2,28,8,52,34,2,115,640,13,6,223,13,220,9,352,0,509,610,261
2,29,2,2,2,57,511,14,6,2,9,70,243,2,2,253,20,219,228,2,466,38,509,584,6,46,194,2,13,309,9,2,125,2,91,2,3,50,2,3,16,76,7,204,16,2,130,3,2,201,15,80,595,10,5,308,34,10,16,0,352,546,102,22
249,2,616,3,204,25,7,118,109,11,9,2,100,2,4,2,211,2,2,19,2,77,3,2,2,2,26,2,601,10,592,38,2,610,122,17,32,501,5,3,549,2,329,58,11,2,2,37,3,185,318,200,3,150,140,125,179,8,0,16,9,28,11,16
51,348,2,159,7,51,2,3,37,25,14,252,2,26,251,8,2,76,48,362,3,2,2,2,7,483,2,36,3,2,2,184,2,2,503,157,549,4,2,627,49,275,2,281,4,3,61,3,635,4,2,114,16,249,10,19,15,0,8,10,220,33,592,60
21,2,290,36,210,273,2,2,4,3,71,3,2,2,5,2,564,135,271,3,32,583,2,227,2,9,496,2,34,520,553,3,2,293,2,2,2,15,78,3,20,29,37,2,3,3,15,315,6,4,565,3,141,4,116,14,0,15,179,34,13,14,5,239
18,2,26,2,2,2,569,162,23,2,2,2,293,2,2,12,2,2,32,2,14,3,190,24,4,40,2,2,204,24,10,2,24,4,289,25,26,537,2,2,267,91,41,534,46,2,2,2,4,554,3,553,139,186,11,0,14,19,125,308,223,508,132,3
469,48,513,47,2,3,2,3,24,550,366,4,2,172,16,51,486,2,33,2,2,243,2,2,371,17,14,110,51,37,183,2,152,3,36,254,37,38,600,2,266,24,2,3,87,242,30,600,7,7,8,10,14,132,0,11,116,10,140,5,6,3,3,216
561,245,238,2,2,2,18,2,2,217,2,15,18,132,2,7,44,3,4,39,2,2,5,2,63,24,2,2,68,2,3,3,2,3,640,524,572,287,8,59,610,5,5,313,3,2,24,7,120,46,9,643,11,0,132,186,4,249,150,10,13,28,134,2
2,2,2,16,2,19,238,2,2,2,58,90,34,2,2,13,96,110,626,2,281,261,123,610,3,53,274,2,2,528,18,2,4,2,3,2,2,27,2,2,2,286,2,307,2,4,36,3,7,33,5,14,0,11,14,139,141,16,3,595,640,531,156,143
284,54,150,3,2,2,171,38,4,25,2,4,57,25,2,5,8,2,21,2,1,2,44,3,8,63,2,2,142,6,5,2,3,4,620,165,283,574,4,13,587,48,11,595,17,8,3,10,10,260,15,0,14,643,10,553,3,114,200,80,115,231,247,2
2,15,161,2,659,528,2,3,50,3,2,96,4,2,3,2,262,251,3,215,32,167,2,107,2,2,535,3,206,266,658,187,2,633,2,2,2,13,2,3,13,1,241,3,6,2,47,16,11,11,0,15,5,9,8,3,565,2,318,15,2,3,2,2
4,2,16,3,20,2,571,561,204,2,2,3,569,2,32,50,2,2,8,2,32,2,326,13,8,10,2,18,450,9,45,56,130,138,73,2,2,483,3,2,102,18,302,205,267,11,4,9,16,0,11,260,33,46,7,554,4,4,185,201,34,329,15,2
40,547,2,3,133,271,2,2,12,14,2,683,2,133,141,35,2,171,2,681,11,2,2,2,6,225,2,6,2,2,2,343,2,3,261,209,601,2,2,636,12,9,5,2,4,2,274,6,0,16,11,10,7,120,7,4,6,635,3,2,52,2,169,2
136,2,285,248,2,2,2,2,29,253,557,2,2,28,38,10,510,2,255,2,2,587,2,3,228,45,16,90,2,175,104,2,83,2,2,53,2,2,604,2,10,137,3,3,60,301,10,0,6,9,16,10,3,7,600,2,315,3,37,3,8,2,4,529
62,479,2,2,61,367,7,2,2,180,2,534,33,582,3,524,9,600,2,231,501,1,250,274,243,3,232,4,2,53,32,43,112,1,10,332,181,2,36,39,2,2,2,2,3,8,0,10,274,4,47,3,36,24,30,2,15,61,2,130,28,16,4,16
16,19,2,253,3,2,2,136,270,251,476,2,253,118,133,280,36,2,2,2,3,10,159,2,552,35,2,532,6,2,2,2,686,2,2,47,5,2,570,19,9,52,14,4,609,0,8,301,2,11,2,8,4,2,242,2,3,3,2,2,2,2,2,101
