87,3,550,1093,1090,147,94,464,553,412,641,548,9,2,289,1473,648,66,527,1305,1020,290,301,1200,0
29,594,1200,1120,614,76,541,787,432,241,498,250,165,230,446,568,53,420,1008,1228,266,261,1284,0,1200
607,1196,1232,497,138,376,771,392,109,352,143,58,388,481,200,13,409,939,1123,580,258,1353,0,1284,301
1494,1429,496,98,727,633,416,27,106,588,38,424,656,348,96,500,1146,1209,599,57,1227,0,1353,261,290
1118,628,30,556,1151,368,143,205,280,477,424,806,496,103,23,1178,1268,711,48,679,0,1227,258,266,1020
22,2,289,544,319,468,182,280,22,500,1245,607,68,560,968,1289,345,252,1227,0,679,57,580,1228,1305
30,298,491,296,46,300,172,123,363,682,654,132,677,1297,1058,386,367,1022,0,1227,48,599,1123,1008,527
382,485,302,65,122,62,199,249,515,450,120,625,1092,1120,519,436,1352,0,1022,252,711,1209,939,420,66
456,244,9,40,249,80,230,445,217,168,407,1227,1142,586,84,1443,0,1352,367,345,1268,1146,409,53,648
298,29,5,252,481,251,364,392,2,173,1041,1255,695,17,408,0,1443,436,386,1289,1178,500,13,568,1473
527,366,5,169,321,1017,637,208,649,1085,1045,176,500,1512,0,408,84,519,1058,968,23,96,200,446,289
277,18,2,369,541,563,145,504,1258,1062,434,357,1281,0,1512,17,586,1120,1297,560,103,348,481,230,2
9,3,221,508,391,11,462,987,1277,568,289,1192,0,1281,500,695,1142,1092,677,68,496,656,388,165,9
92,328,434,294,247,544,847,1013,512,212,1042,0,1192,357,176,1255,1227,625,132,607,806,424,58,250,548
302,666,239,109,105,953,833,577,57,467,0,1042,289,434,1045,1041,407,120,654,1245,424,38,143,498,641
1063,562,115,468,1098,929,342,367,1011,0,467,212,568,1062,1085,173,168,450,682,500,477,588,352,241,412
602,4,416,1191,1374,266,385,1102,0,1011,57,512,1277,1258,649,2,217,515,363,22,280,106,109,432,553
16,553,1156,1185,643,422,856,0,1102,367,577,1013,987,504,208,392,445,249,123,280,205,27,392,787,464
739,1498,1174,504,268,1145,0,856,385,342,833,847,462,145,637,364,230,199,172,182,143,416,771,541,94
1508,1602,655,254,633,0,1145,422,266,929,953,544,11,563,1017,251,80,62,300,468,368,633,376,76,147
1424,358,352,1451,0,633,268,643,1374,1098,105,247,391,541,321,481,249,122,46,319,1151,727,138,614,1090
366,471,1134,0,1451,254,504,1185,1191,468,109,294,508,369,169,252,40,65,296,544,556,98,497,1120,1093
475,1400,0,1134,352,655,1174,1156,416,115,239,434,221,2,5,5,9,302,491,289,30,496,1232,1200,550
1695,0,1400,471,358,1602,1498,553,4,562,666,328,3,18,366,29,244,485,298,2,628,1429,1196,594,3
0,1695,475,366,1424,1508,739,16,602,1063,302,92,9,277,527,298,456,382,30,22,1118,1494,607,29,487
