2,1,1,0,0,0,0,1,0,1,0,1,2,13,15,0
1,1,0,0,2,1,1,0,0,0,0,2,12,15,0,15
0,0,0,1,1,0,0,0,0,1,4,12,14,0,15,13
0,0,0,1,0,0,1,0,1,1,13,14,0,14,12,2
1,0,0,0,1,1,1,0,2,11,14,0,14,12,2,1
0,2,1,1,1,0,0,2,12,119,0,14,13,4,0,0
0,1,2,2,1,2,3,12,15,0,119,11,1,1,0,1
1,1,2,0,0,2,14,13,0,15,12,2,1,0,0,0
1,1,2,1,1,12,13,0,13,12,2,0,0,0,0,1
1,1,1,1,10,14,0,13,14,3,0,1,1,0,1,0
0,0,6,9,13,0,14,12,2,2,0,1,0,0,1,0
2,3,11,12,0,13,10,1,0,1,1,1,0,1,2,0
9,15,18,0,12,9,1,1,0,2,1,0,1,1,0,0
11,14,0,18,11,6,1,2,2,2,1,0,0,0,0,1
16,0,14,15,3,0,1,1,1,1,2,0,0,0,1,1
0,16,11,9,2,0,1,1,1,0,0,1,0,0,1,2
