247,199,572,168,416,173,534,138,221,60,428,885,604,367,861,0
195,305,386,73,165,123,237,31,36,75,497,357,403,637,0,861
287,510,368,57,209,145,265,34,92,90,474,423,1046,0,637,367
490,194,421,158,499,215,349,61,221,135,566,481,0,1046,403,604
340,157,327,23,525,228,365,102,276,90,1153,0,481,423,357,885
389,178,403,107,452,254,795,124,246,281,0,1153,566,474,497,428
24,70,87,19,113,150,161,16,208,0,281,90,135,90,75,60
102,46,55,18,180,61,160,34,0,208,246,276,221,92,36,221
183,37,29,110,300,111,155,0,34,16,124,102,61,34,31,138
314,173,466,112,460,604,1,155,160,161,795,365,349,265,237,534
164,354,358,56,556,0,604,111,61,150,254,228,215,145,123,173
603,425,299,72,0,556,460,300,180,113,452,525,499,209,165,416
209,77,82,0,72,56,112,110,18,19,107,23,158,57,73,168
483,501,0,82,299,358,466,29,55,87,403,327,421,368,386,572
495,0,501,77,425,354,173,37,46,70,178,157,194,510,305,199
0,495,483,209,603,164,314,183,102,24,389,340,490,287,195,247

