490,848,41,762,2062,443,2213,824,18,1439,1276,453,1814,0
10,6,14,471,1276,5,2367,1757,914,444,1613,1044,0,1814
22,17,21,1908,10,884,5,2408,2904,11,1774,0,1044,453
23,454,33,1679,435,1033,966,1747,1179,608,0,1774,1613,1276
2107,1915,1508,410,1891,1064,1039,11,4,0,608,11,444,1439
36,3,9,799,5,2,44,2913,0,4,1179,2904,914,18
9,15,43,1067,14,2,808,0,2913,11,1747,2408,1757,824
12,3,59,4,2487,20,0,808,44,1039,966,5,2367,2213
832,2568,34,2558,15,0,20,2,2,1064,1033,884,5,443
1289,554,1018,17,0,15,2487,14,5,1891,435,10,1276,2062
27,1434,30,0,17,2558,4,1067,799,410,1679,1908,471,762
3684,1070,0,30,1018,34,59,43,9,1508,33,21,14,41
2073,0,1070,1434,554,2568,3,15,3,1915,454,17,6,848
0,2073,3684,27,1289,832,12,9,36,2107,23,22,10,490
