10,6,14,7,9,9,10,10,8,5,8,12,4,11,12,7,7,10,5,9,7,6,5,12,6,8,6,13,10,7,6,6,3,6,12,6,5,6,12,5,10,9,9,14,26,5,11,10,12,11,10,12,9,12,9,11,23,13,31,14,9,9,38,0
13,7,5,10,5,11,11,9,13,6,10,7,4,7,7,8,11,12,7,16,6,6,5,7,8,6,6,10,8,3,5,9,7,6,14,5,6,5,8,8,6,5,11,7,6,11,12,9,6,8,10,6,8,8,7,28,22,21,27,5,9,15,0,38
10,9,4,7,8,4,7,11,11,11,7,7,9,6,10,10,10,9,10,10,9,8,12,8,3,4,3,12,9,11,6,6,5,9,12,11,8,6,7,10,5,7,9,11,14,12,9,15,9,6,30,8,12,6,8,9,23,8,11,29,26,0,15,9
4,6,9,3,10,3,6,5,21,5,7,8,11,10,8,6,5,8,11,9,10,9,10,5,14,7,6,7,5,7,6,12,8,3,8,4,6,5,4,5,3,4,7,6,16,7,4,5,13,4,14,14,10,11,4,6,18,7,9,20,0,26,9,9
5,7,9,2,7,7,14,12,6,8,6,7,19,7,8,6,8,14,7,13,10,4,5,7,8,11,8,15,9,8,14,14,5,5,2,7,12,8,9,5,9,13,40,7,8,16,7,14,6,13,11,13,12,7,5,9,9,7,6,0,20,29,5,14
8,4,12,10,3,5,5,20,4,3,11,7,5,8,14,11,8,11,3,12,8,4,11,5,6,7,6,19,9,9,6,5,7,4,12,9,8,6,14,11,8,8,5,7,10,13,16,12,12,10,13,6,7,10,8,26,12,22,0,6,9,11,27,31
10,11,7,7,12,1,9,5,4,8,6,8,8,6,7,6,9,12,5,7,6,5,2,6,12,8,7,7,8,11,7,6,9,12,3,8,6,4,6,7,21,10,9,11,5,7,6,8,12,5,4,4,9,7,10,10,10,0,22,7,7,8,21,13
9,5,11,8,8,13,13,11,7,13,5,6,2,15,9,39,7,7,10,4,7,8,9,4,4,11,7,10,22,7,4,7,6,6,8,10,7,5,9,12,10,7,9,5,17,6,14,9,5,5,11,7,10,7,9,10,0,10,12,9,18,23,22,23
11,7,13,4,3,6,9,8,11,10,15,6,7,11,15,5,7,7,11,10,3,7,6,5,4,8,7,8,9,11,6,6,9,6,9,5,6,7,17,9,8,8,13,8,10,6,18,11,13,17,9,14,11,11,13,0,10,10,26,9,6,9,28,11
6,7,11,14,12,10,6,9,11,6,8,6,6,7,11,10,11,9,25,8,5,11,8,5,6,10,6,6,12,7,8,10,6,9,10,5,8,6,6,3,9,9,14,8,11,8,12,12,12,15,12,13,11,9,0,13,9,10,8,5,4,8,7,9
5,12,11,5,5,5,7,4,10,7,4,6,3,9,7,7,7,8,8,8,14,10,4,7,9,3,4,6,7,8,8,6,3,6,11,9,7,14,8,7,3,7,8,11,4,9,9,14,37,16,19,7,9,0,9,11,7,7,10,7,11,6,8,12
4,7,6,19,4,7,8,13,8,7,6,9,5,7,6,12,6,6,7,9,3,6,8,10,7,6,6,9,10,14,5,5,4,11,7,3,6,12,10,6,11,6,9,6,13,6,7,7,6,24,6,22,0,9,11,11,10,9,7,12,10,12,8,9
3,5,12,10,8,5,9,10,6,3,5,7,5,7,9,13,21,3,8,7,2,8,6,7,6,5,9,7,7,4,9,7,3,4,5,11,6,3,11,8,8,5,6,7,10,4,3,8,12,20,9,0,22,7,13,14,7,4,6,13,14,8,6,12
10,6,14,9,7,11,5,8,10,9,14,15,9,9,7,16,8,9,5,9,6,3,10,6,6,5,6,15,13,7,6,9,11,6,11,4,8,10,9,8,8,11,10,11,6,15,13,17,13,13,0,9,6,19,12,9,11,4,13,11,14,30,10,10
5,7,8,7,5,7,8,14,5,5,8,14,6,7,15,9,7,9,13,9,6,6,5,9,7,5,5,6,8,12,4,5,6,7,7,5,6,9,7,12,6,9,5,12,9,7,31,13,21,0,13,20,24,16,15,17,5,5,10,13,4,6,8,11
4,7,7,6,7,3,9,11,6,5,4,5,8,4,7,6,8,7,4,6,12,5,6,6,11,6,6,6,8,9,3,8,3,7,5,10,1,7,16,5,7,6,8,6,9,15,10,22,0,21,13,12,6,37,12,13,5,12,12,6,13,9,6,12
8,6,14,7,15,7,11,8,7,26,13,20,12,16,7,13,6,11,12,13,6,8,7,9,6,12,12,11,10,10,10,5,11,7,8,10,12,7,8,10,12,11,21,8,13,25,18,0,22,13,17,8,7,14,12,11,9,8,12,14,5,15,9,10
11,5,8,12,4,8,4,22,7,4,7,8,9,10,6,9,11,9,6,10,6,5,8,11,7,4,7,3,9,8,8,6,3,5,15,6,8,10,9,7,4,15,16,25,14,17,0,18,10,31,13,3,7,9,12,18,14,6,16,7,4,9,12,11
13,7,8,6,6,7,26,11,8,9,4,9,7,7,7,12,9,8,4,10,7,16,7,7,9,10,5,5,8,7,7,11,12,9,9,5,8,11,7,11,6,11,16,22,3,0,17,25,15,7,15,4,6,9,8,6,6,7,13,16,7,12,11,5
3,8,4,7,7,7,11,30,13,4,5,8,8,13,8,7,3,11,4,7,7,4,11,13,4,1,8,9,6,6,6,3,9,5,4,8,9,6,10,10,7,11,9,15,0,3,14,13,9,9,6,10,13,4,11,10,17,5,10,8,16,14,6,26
11,12,6,6,15,3,10,15,4,9,10,7,17,11,12,9,4,20,5,10,3,6,7,4,8,7,6,7,9,9,5,7,9,11,7,9,9,12,9,24,15,26,19,0,15,22,25,8,6,12,11,7,6,11,8,8,5,11,7,7,6,11,7,14
10,11,8,7,8,11,28,8,7,10,8,15,6,10,10,12,4,6,5,9,11,8,7,1,13,9,11,8,11,8,10,9,9,7,9,16,11,7,15,7,10,21,0,19,9,16,16,21,8,5,10,6,9,8,14,13,9,9,5,40,7,9,11,9
16,8,9,5,4,7,4,11,8,7,5,10,5,11,8,5,9,35,6,13,7,12,5,6,6,11,7,7,8,9,9,7,8,13,4,9,7,14,19,29,15,0,21,26,11,11,15,11,6,9,11,5,6,7,9,8,7,10,8,13,4,7,5,9
12,5,6,14,8,6,6,6,1,11,11,8,10,5,6,5,4,10,10,6,9,2,6,11,6,7,10,8,4,14,10,5,11,10,15,13,6,19,21,25,0,15,10,15,7,6,4,12,7,6,8,8,11,3,9,8,10,21,8,9,3,5,6,10
11,7,12,10,7,9,9,10,8,8,13,11,9,9,7,10,5,15,9,16,12,5,6,9,5,3,10,8,15,9,8,5,13,9,14,21,7,19,14,0,25,29,7,24,10,11,7,10,5,12,8,8,6,7,3,9,12,7,11,5,5,10,8,5
8,14,8,7,5,6,6,7,7,5,10,9,4,8,7,5,10,3,11,6,8,5,8,7,7,7,6,7,7,7,4,6,2,7,12,15,7,19,0,14,21,19,15,9,10,7,9,8,16,7,9,11,10,8,6,17,9,6,14,9,4,7,8,12
8,7,8,5,12,6,2,9,8,9,6,12,8,8,8,6,8,8,6,9,7,8,10,13,3,8,13,7,5,11,5,2,12,20,9,21,8,0,19,19,19,14,7,12,6,11,10,7,7,9,10,3,12,14,6,7,5,4,6,8,5,6,5,6
11,7,2,4,6,8,8,3,11,8,10,12,11,10,3,4,8,12,7,7,10,19,6,4,6,4,5,10,7,12,12,18,19,20,20,15,0,8,7,7,6,7,11,9,9,8,8,12,1,6,8,6,6,7,8,6,7,6,8,12,6,8,6,5
13,14,7,7,6,2,8,4,4,7,12,6,9,7,9,7,1,6,5,11,15,9,4,5,7,4,2,9,8,11,10,10,8,8,22,0,15,21,15,21,13,9,16,9,8,5,6,10,10,5,4,11,3,9,5,5,10,8,9,7,4,11,5,6
4,12,6,10,2,7,5,8,7,9,7,7,7,7,7,8,11,9,8,4,4,7,5,9,11,9,9,7,6,7,7,6,22,15,0,22,20,9,12,14,15,4,9,7,4,9,15,8,5,7,11,5,7,11,10,9,8,3,12,2,8,12,14,12
9,9,9,8,8,5,4,3,9,8,6,9,11,2,11,7,4,11,9,4,4,8,8,15,7,7,7,7,5,20,3,22,23,0,15,8,20,20,7,9,10,13,7,11,5,9,5,7,7,7,6,4,11,6,9,6,6,12,4,5,3,9,6,6
5,5,5,8,8,9,9,9,7,10,6,9,7,4,3,4,4,7,11,2,4,5,8,6,6,37,14,6,4,9,14,14,0,23,22,8,19,12,2,13,11,8,9,9,9,12,3,11,3,6,11,3,4,3,6,9,6,9,7,5,8,5,7,3
6,9,5,5,6,9,10,5,9,10,4,9,9,1,9,9,10,8,2,5,5,9,8,6,8,8,9,8,7,20,45,0,14,22,6,10,18,2,6,5,5,7,9,7,3,11,6,5,8,5,9,7,5,6,10,6,7,6,5,14,12,6,9,6
5,10,8,5,12,5,10,7,6,8,7,8,8,6,5,6,10,6,6,15,5,22,6,5,15,14,6,8,20,17,0,45,14,3,7,10,12,5,4,8,10,9,10,5,6,7,8,10,3,4,6,9,5,8,8,6,4,7,6,14,6,6,5,6
8,8,3,26,9,5,7,13,3,2,5,10,6,6,8,8,4,3,9,3,10,5,11,11,5,8,6,14,17,0,17,20,9,20,7,11,12,11,7,9,14,9,8,9,6,7,8,10,9,12,7,4,14,8,7,11,7,11,9,8,7,11,3,7
10,8,8,4,5,14,7,10,12,12,8,12,9,30,10,8,6,6,12,10,11,6,10,8,17,8,12,23,0,17,20,7,4,5,6,8,7,5,7,15,4,8,11,9,6,8,9,10,8,8,13,7,10,7,12,9,22,8,9,9,5,9,8,10
9,7,28,5,6,9,11,8,8,10,8,8,8,3,6,5,14,5,7,9,10,6,10,6,20,18,22,0,23,14,8,8,6,7,7,9,10,7,7,8,8,7,8,7,9,5,3,11,6,6,15,7,9,6,6,8,10,7,19,15,7,12,10,13
