488,13,2,2,14,2,207,6,2,2,202,3,2,6,2,13,113,14,2,2,3,15,2,146,27,2,163,24,103,6,7,2,2,2,2,167,20,3,226,2,515,2,5,5,197,559,2,108,9,2,1,2,3,40,243,126,528,471,4,491,4,60,22,0
5,13,5,2,2,2,2,131,133,563,2,208,2,74,2,2,13,2,8,209,7,3,2,7,124,6,2,2,2,7,503,48,598,115,3,186,592,226,220,2,99,2,204,2,5,6,2,557,10,543,2,2,2,8,3,10,6,19,2,2,11,17,0,22
14,3,13,2,4,2,110,94,2,2,2,2,21,2,19,2,10,2,2,2,478,3,2,196,6,223,512,213,2,27,2,2,3,99,2,2,2,2,2,140,2,2,189,580,20,117,179,2,2,2,243,4,2,556,560,6,18,3,519,231,14,0,17,60
2,130,178,480,160,509,2,9,8,3,190,2,259,4,9,509,9,605,196,7,2,22,12,7,7,27,2,2,507,3,2,242,3,7,138,2,2,12,3,2,2,590,2,2,216,5,33,2,118,2,2,15,217,2,2,3,96,12,11,8,0,14,11,4
576,33,2,2,2,3,491,5,2,3,35,2,2,2,2,6,217,3,2,2,15,117,12,203,23,4,511,205,13,3,2,2,2,3,2,6,3,2,122,4,208,2,2,39,125,520,2,9,7,4,5,3,17,105,531,18,221,121,149,0,8,231,2,491
15,3,4,2,12,2,228,3,12,2,2,7,10,31,235,3,5,2,2,2,194,111,249,2,2,113,537,490,2,135,2,2,2,4,6,2,2,2,2,496,2,2,2,503,2,3,229,2,2,7,506,136,6,97,185,19,12,15,0,149,11,519,2,4
249,4,2,2,211,3,13,2,3,6,550,2,3,198,10,2,19,98,2,2,2,2,2,9,11,2,6,2,178,106,132,2,3,2,2,578,33,4,150,3,540,2,3,2,115,219,13,245,3,3,8,2,3,2,12,582,566,0,15,121,12,3,19,471
125,2,2,2,137,6,7,3,4,2,631,2,4,3,2,183,7,233,5,2,2,2,2,215,3,2,12,2,485,14,5,2,5,2,2,91,2,7,11,2,225,2,2,2,567,624,3,4,92,2,2,2,3,2,95,217,0,566,12,221,96,18,6,528
7,2,2,2,483,2,2,3,2,4,476,106,106,518,228,2,4,167,2,2,2,2,2,2,2,24,2,2,99,550,230,2,11,2,2,577,7,3,4,46,221,2,2,39,20,31,236,112,5,7,163,6,16,3,4,0,217,582,19,18,3,6,10,126
110,3,2,2,2,2,181,215,2,4,3,2,2,2,2,6,6,2,2,3,251,6,2,612,5,3,482,96,16,2,2,2,2,4,2,2,6,5,4,4,19,2,112,117,234,539,7,11,112,9,14,11,4,643,0,4,95,12,185,531,2,560,3,243
4,2,30,2,2,2,2,534,3,213,2,2,16,4,2,12,4,2,3,3,645,2,2,634,4,173,189,3,17,2,2,2,12,227,1,2,20,118,7,2,4,2,612,297,136,216,3,10,202,107,21,13,4,0,643,3,2,2,97,105,2,556,8,40
10,485,9,482,2,134,86,3,166,2,2,50,8,2,5,140,207,18,218,7,2,417,451,2,130,3,43,152,19,4,2,199,17,2,527,2,2,26,10,112,2,522,2,2,3,2,2,2,13,17,22,240,0,4,4,16,3,3,6,17,217,2,2,3
2,7,2,5,2,2,9,6,531,3,2,547,2,252,491,10,5,5,205,2,2,109,523,2,2,5,5,186,4,117,146,2,219,2,531,2,2,111,4,444,2,112,2,6,2,2,15,9,20,11,270,0,240,13,11,6,2,2,136,3,15,4,2,2
2,2,12,6,219,6,10,2,47,2,46,147,129,209,485,2,4,35,2,3,112,9,151,2,2,197,137,174,4,505,3,2,3,13,53,12,2,2,2,508,2,2,4,462,2,2,545,6,4,19,0,270,22,21,14,163,2,8,506,5,2,243,2,1
4,22,223,5,2,13,2,231,3,609,2,2,11,3,2,3,24,2,6,584,219,2,2,5,226,103,2,2,2,2,98,153,242,531,2,2,510,155,106,2,2,2,548,3,2,2,3,175,11,0,19,11,17,107,9,7,2,3,7,4,2,2,543,2
2,2,2,33,4,9,2,549,226,235,30,10,2,5,2,551,2,20,525,2,8,2,11,539,9,2,3,2,238,2,2,2,109,5,139,6,2,500,2,2,3,229,138,3,515,177,9,15,0,11,4,20,13,202,112,5,92,3,2,7,118,2,10,9
258,20,3,3,2,2,18,7,22,94,2,137,2,202,4,2,101,2,2,113,2,4,2,9,216,3,2,2,3,9,515,3,252,19,2,526,582,14,566,2,463,2,18,2,10,11,8,0,15,175,6,9,2,10,11,112,4,245,2,9,2,2,557,108
2,2,168,6,588,94,2,2,2,2,121,3,505,113,216,2,3,220,2,2,202,6,2,5,7,524,40,3,10,512,2,2,2,92,3,23,2,4,2,121,3,2,22,550,12,15,0,8,9,3,545,15,2,3,7,236,3,13,229,2,33,179,2,2
211,2,2,2,14,2,95,112,2,3,177,2,2,2,2,93,10,23,3,2,4,2,2,551,4,2,209,3,237,3,2,2,2,2,3,6,2,3,9,3,109,10,27,34,582,0,15,11,177,2,2,2,2,216,539,31,624,219,3,520,5,117,6,559
5,2,4,4,20,5,4,224,12,7,216,2,4,2,2,515,3,129,207,2,2,2,2,549,12,3,16,2,552,2,6,2,10,2,17,5,2,105,2,2,16,83,21,9,0,582,12,10,515,2,2,2,3,136,234,20,567,115,2,125,216,20,5,197
3,2,89,3,116,11,12,2,2,2,11,2,199,6,104,2,3,12,2,3,511,3,2,14,5,543,261,115,3,211,2,5,2,173,2,2,3,3,2,189,2,6,125,0,9,34,550,2,3,3,462,6,2,297,117,39,2,2,503,39,2,580,2,5
