420,15,1323,631,1088,23,86,314,532,369,423,391,82,23,212,1383,613,468,11,1265,1334,326,283,1412,0
32,501,911,1327,353,10,162,502,299,29,290,8,2,275,488,459,4,1398,553,1386,232,463,1485,0,1412
467,1036,258,1089,20,212,328,294,2,2,57,6,283,609,324,58,243,1329,1142,668,417,1386,0,1485,283
1301,1083,108,349,776,393,297,42,123,289,20,314,511,318,155,560,1098,504,1279,29,1439,0,1386,463,326
1427,543,732,4,1340,179,2,15,353,477,309,423,239,3,8,1522,1436,30,575,420,0,1439,417,232,1334
18,3,397,290,310,491,268,6,13,273,1568,569,4,424,1071,1254,227,1472,284,0,420,29,668,1386,1265
332,589,2,327,52,96,22,380,421,312,126,531,1242,1310,543,421,1427,1434,0,284,575,1279,1142,553,11
15,284,249,435,12,310,81,4,235,566,580,5,676,1310,1156,216,385,0,1434,1472,30,504,1329,1398,468
554,365,36,4,309,34,254,557,355,55,349,1107,1527,642,53,1523,0,385,1427,227,1436,1098,243,4,613
262,3,237,10,498,247,459,215,60,54,1001,1369,688,50,389,0,1523,216,421,1254,1522,560,58,459,1383
563,336,3,89,196,1114,727,34,544,1062,1418,244,302,1322,0,389,53,1156,543,1071,8,155,324,488,212
289,2,169,13,547,708,25,476,1187,1238,370,278,1581,0,1322,50,642,1310,1310,424,3,318,609,275,23
29,30,620,164,336,2,284,1104,1570,781,234,1478,0,1581,302,688,1527,676,1242,4,239,511,283,2,82
2,282,434,374,86,357,1131,1279,538,187,1304,0,1478,278,244,1369,1107,5,531,569,423,314,6,8,391
330,536,127,371,2,1199,1341,410,43,562,0,1304,234,370,1418,1001,349,580,126,1568,309,20,57,290,423
1315,602,638,9,1243,1258,284,357,1499,0,562,187,781,1238,1062,54,55,566,312,273,477,289,2,29,369
646,52,1520,446,1515,255,144,1315,0,1499,43,538,1570,1187,544,60,355,235,421,13,353,123,2,299,532
2,404,1464,1317,678,333,1360,0,1315,357,410,1279,1104,476,34,215,557,4,380,6,15,42,294,502,314
625,1416,497,1522,48,1470,0,1360,144,284,1341,1131,284,25,727,459,254,81,22,268,2,297,328,162,86
1143,1439,38,598,498,0,1470,333,255,1258,1199,357,2,708,1114,247,34,310,96,491,179,393,212,10,23
1451,264,1408,254,0,498,48,678,1515,1243,2,86,336,547,196,498,309,12,52,310,1340,776,20,353,1088
318,1505,1412,0,254,598,1522,1317,446,9,371,374,164,13,89,10,4,435,327,290,4,349,1089,1327,631
198,243,0,1412,1408,38,497,1464,1520,638,127,434,620,169,3,237,36,249,2,397,732,108,258,911,1323
1497,0,243,1505,264,1439,1416,404,52,602,536,282,30,2,336,3,365,284,589,3,543,1083,1036,501,15
0,1497,198,318,1451,1143,625,2,646,1315,330,2,29,289,563,262,554,15,332,18,1427,1301,467,32,420
