15,2,2,2,2,2,3,14,2,2,2,2,2,2,2,166,2,3,2,2,3,2,2,3,65,340,287,665,467,998,820,0
15,2,2,2,2,2,49,2,2,2,2,2,2,2,162,2,2,2,2,2,2,2,2,2,395,24,614,333,654,729,0,820
2,16,2,3,2,2,2,130,2,2,3,2,2,55,2,2,2,2,3,116,2,2,286,507,53,567,194,456,782,0,729,998
15,2,2,2,2,2,130,2,2,2,2,2,47,2,2,2,2,2,114,2,3,318,662,410,617,37,329,30,0,782,654,467
2,2,2,14,1,2,2,2,2,2,2,184,2,2,237,544,2,2,2,14,2,2,2,2,361,695,748,0,30,456,333,665
2,2,2,2,2,2,9,2,4,2,184,2,2,273,650,397,2,2,13,2,2,3,2,2,588,337,0,748,329,194,614,287
2,68,2,103,2,2,293,580,2,132,2,3,2,3,3,2,2,15,2,2,2,3,2,170,640,0,337,695,37,567,24,340
56,2,94,2,2,2,486,262,247,2,3,2,2,2,2,2,2,2,2,2,15,3,169,31,0,640,588,361,617,53,395,65
2,2,2,2,2,12,3,28,2,2,2,2,36,159,2,14,10,417,3,678,532,695,535,0,31,170,2,2,410,507,2,3
2,3,1,2,15,2,2,2,2,2,2,3,218,67,3,3,504,2,535,8,677,472,0,535,169,2,2,2,662,286,2,2
2,2,3,2,18,178,2,2,2,2,2,2,3,51,2,2,352,637,33,507,906,0,472,695,3,3,3,2,318,2,2,2
2,2,2,2,184,18,3,2,3,2,2,2,68,2,2,2,680,322,355,156,0,906,677,532,15,2,2,2,3,2,2,3
2,2,2,17,2,7,2,3,2,122,2,15,262,579,2,2,279,700,639,0,156,507,8,678,2,2,2,14,2,116,2,2
3,2,3,2,5,6,2,2,104,2,28,2,612,247,2,2,787,354,0,639,355,33,535,3,2,2,13,2,114,3,2,2
38,216,2,22,237,508,2,11,3,2,2,2,2,5,2,18,703,0,354,700,322,637,2,417,2,15,2,2,2,2,2,3
216,35,16,12,523,282,24,2,21,3,2,2,22,7,18,19,0,703,787,279,680,352,504,10,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,2,2,372,333,712,413,622,814,0,19,18,2,2,2,2,3,14,2,2,397,544,2,2,2,166
2,3,2,2,2,2,14,2,352,208,696,296,568,254,0,814,18,2,2,2,2,2,3,2,2,3,650,237,2,2,162,2
2,2,2,150,2,2,3,2,2,504,16,386,581,1,254,622,7,5,247,579,2,51,67,159,2,3,273,2,2,55,2,2
2,2,137,2,2,3,2,2,522,28,362,47,0,581,568,413,22,2,612,262,68,3,218,36,2,2,2,2,47,2,2,2
2,2,2,2,2,2,2,17,401,1021,842,0,47,386,296,712,2,2,2,15,2,2,3,2,2,3,2,184,2,2,2,2
2,2,2,3,3,2,2,2,680,722,0,842,362,16,696,333,2,2,28,2,2,2,2,2,3,2,184,2,2,3,2,2
32,62,221,524,3,21,221,266,647,0,722,1021,28,504,208,372,3,2,2,122,2,2,2,2,2,132,2,2,2,2,2,2
124,123,668,252,54,3,367,110,0,647,680,401,522,2,352,2,21,3,104,2,3,2,2,2,247,2,4,2,2,2,2,2
374,270,2,488,409,506,531,0,110,266,2,17,2,2,2,2,2,11,2,3,2,2,2,28,262,580,2,2,2,130,2,14
383,106,602,53,589,402,0,531,367,221,2,2,2,3,14,2,24,2,2,2,3,2,2,3,486,293,9,2,130,2,49,3
287,654,314,399,734,0,402,506,3,21,2,2,3,2,2,2,282,508,6,7,18,178,2,12,2,2,2,2,2,2,2,2
574,257,365,449,0,734,589,409,54,3,3,2,2,2,2,2,523,237,5,2,184,18,15,2,2,2,2,1,2,2,2,2
670,854,720,0,449,399,53,488,252,524,3,2,2,150,2,2,12,22,2,17,2,2,2,2,2,103,2,14,2,3,2,2
692,439,0,720,365,314,602,2,668,221,2,2,137,2,2,2,16,2,3,2,2,3,1,2,94,2,2,2,2,2,2,2
843,0,439,854,257,654,106,270,123,62,2,2,2,2,3,3,35,216,2,2,2,2,3,2,2,68,2,2,2,16,2,2
0,843,692,670,574,287,383,374,124,32,2,2,2,2,2,2,216,38,3,2,2,2,2,2,56,2,2,2,15,2,15,15
