207,185,460,351,192,147,149,168,383,254,185,250,537,68,490,0
277,380,372,150,146,149,142,166,248,179,303,492,159,410,0,490
409,220,58,158,29,108,193,231,90,369,553,200,463,0,410,68
315,70,239,422,138,106,209,211,263,357,339,135,1,463,159,537
191,263,206,216,460,270,128,391,420,173,604,0,135,200,492,250
192,176,225,183,257,117,579,671,213,372,0,604,339,553,303,185
154,242,356,119,218,371,537,181,400,0,372,173,357,369,179,254
235,465,203,131,589,387,209,127,0,400,213,420,263,90,248,383
509,266,187,466,507,190,460,0,127,181,671,391,211,231,166,168
267,231,377,414,140,494,0,460,209,537,579,128,209,193,142,149
300,605,505,276,549,0,494,190,387,371,117,270,106,108,149,147
469,690,314,246,0,549,140,507,589,218,257,460,138,29,146,192
402,272,451,0,246,276,414,466,131,119,183,216,422,158,150,351
234,710,0,451,314,505,377,187,203,356,225,206,239,58,372,460
558,0,710,272,690,605,231,266,465,242,176,263,70,220,380,185
1,558,234,402,469,300,267,509,235,154,192,191,315,409,277,207
