293,289,315,290,289,278,315,308,327,317,301,300,402,359,408,0
273,260,222,176,265,344,202,288,298,343,305,231,370,422,0,408
205,223,295,267,243,431,241,272,232,268,236,269,638,0,422,359
267,272,322,307,209,338,243,206,195,298,294,285,0,638,370,402
228,280,449,259,206,402,226,671,239,257,239,0,285,269,231,300
388,353,242,430,306,248,341,202,342,448,0,239,294,236,305,301
321,338,233,354,361,179,375,235,242,0,448,257,298,268,343,317
441,431,247,291,529,200,288,186,0,242,342,239,195,232,298,327
275,204,374,218,248,402,220,0,186,235,202,671,206,272,288,308
394,328,257,533,464,196,0,220,288,375,341,226,243,241,202,315
191,149,633,241,192,0,196,402,200,179,248,402,338,431,344,278
386,322,281,317,0,192,464,248,529,361,306,206,209,243,265,289
354,412,268,0,317,241,533,218,291,354,430,259,307,267,176,290
195,216,0,268,281,633,257,374,247,233,242,449,322,295,222,315
509,0,216,412,322,149,328,204,431,338,353,280,272,223,260,289
0,509,195,354,386,191,394,275,441,321,388,228,267,205,273,293
