5,2,2,3,2,2,2,54,2,2,2,2,2,2,3,482,2,2,2,2,2,3,608,2172,3,3,2,3,3,583,2217,0
45,2,2,2,2,2,2,2,2,2,3,2,2,2,235,250,2,2,2,2,4,585,1156,1223,2,2,33,8,402,1758,0,2217
3,27,2,2,2,32,2,3,2,2,2,2,2,327,655,494,2,2,2,2,583,1376,1482,278,2,2,2,351,1362,0,1758,583
45,2,2,2,2,2,2,2,2,2,3,2,428,2,2,2,2,2,2,745,1584,565,366,2,34,3,339,1579,0,1362,402,3
3,2,2,2,2,2,2,2,2,2,2,364,7,2,2,2,2,2,676,1640,645,8,2,38,2,454,1357,0,1579,351,8,3
2,2,2,3,2,2,2,2,2,2,297,356,3,2,3,3,3,572,1509,819,31,2,37,2,430,1555,0,1357,339,2,33,2
2,2,2,2,2,2,3,2,3,273,80,82,2,2,2,2,680,1652,946,157,2,36,3,17,1589,0,1555,454,3,2,2,3
45,2,3,2,2,3,2,2,306,460,2,2,2,2,2,2,2551,1917,448,2,2,2,18,52,0,1589,430,2,34,2,2,3
2,2,2,2,3,2,2,292,2,2,2,2,2,2,566,1663,2,2,2,33,3,231,1311,0,52,17,2,38,2,278,1223,2172
2,2,2,2,2,2,268,287,2,2,3,2,2,601,1422,1647,2,2,2,2,244,1394,0,1311,18,3,37,2,366,1482,1156,608
2,2,2,3,1,273,326,2,2,2,2,2,616,1503,1295,735,2,22,2,247,771,0,1394,231,2,36,2,8,565,1376,585,3
2,2,2,2,410,23,2,2,2,2,3,628,1420,383,259,2,3,2,289,966,0,771,244,3,2,2,31,645,1584,583,4,2
2,2,2,297,2,2,3,2,3,2,524,1331,519,2,2,2,2,244,1139,0,966,247,2,33,2,157,819,1640,745,2,2,2
2,2,393,562,2,3,2,2,3,496,1148,1218,238,2,23,2,302,832,0,1139,289,2,2,2,448,946,1509,676,2,2,2,2
2,340,3,2,2,2,2,2,608,961,709,240,2,23,2,18,1925,0,832,244,2,22,2,2,1917,1652,572,2,2,2,2,2
454,532,2,2,2,2,2,2,1473,1074,2,2,2,3,18,45,0,1925,302,2,3,2,2,2,2551,680,3,2,2,2,2,2
2,3,2,2,2,2,774,1402,2,2,2,3,3,401,1461,0,45,18,2,2,2,735,1647,1663,2,2,3,2,2,494,250,482
2,2,2,3,2,831,946,547,2,2,2,2,257,1558,0,1461,18,2,23,2,259,1295,1422,566,2,2,3,2,2,655,235,3
2,2,2,2,700,1481,699,3,2,2,2,327,1152,0,1558,401,3,23,2,2,383,1503,601,2,2,2,2,2,2,327,2,2
2,2,2,502,1557,462,18,2,27,2,338,965,0,1152,257,3,2,2,238,519,1420,616,2,2,2,2,3,7,428,2,2,2
2,3,836,1272,274,24,2,25,2,174,1487,0,965,327,2,3,2,240,1218,1331,628,2,2,2,2,82,356,364,2,2,2,2
2,646,1732,1474,351,3,22,2,363,915,0,1487,338,2,2,2,2,709,1148,524,3,2,3,2,2,80,297,2,3,2,3,2
704,1609,965,356,2,27,2,18,1627,0,915,174,2,2,2,2,1074,961,496,2,2,2,2,2,460,273,2,2,2,2,2,2
2092,2092,543,2,28,3,44,44,0,1627,363,2,27,2,2,2,1473,608,3,3,2,2,2,2,306,3,2,2,2,2,2,2
2,2,2,54,4,675,2096,0,44,18,2,25,2,3,547,1402,2,2,2,2,2,2,287,292,2,2,2,2,2,3,2,54
2,2,2,3,334,1930,0,2096,44,2,22,2,18,699,946,774,2,2,2,3,2,326,268,2,2,3,2,2,2,2,2,2
2,32,2,291,1842,0,1930,675,3,27,3,24,462,1481,831,2,2,2,3,2,23,273,2,2,3,2,2,2,2,32,2,2
84,2,531,1419,0,1842,334,4,28,2,351,274,1557,700,2,2,2,2,2,2,410,1,2,3,2,2,2,2,2,2,2,2
4,328,2168,0,1419,291,3,54,2,356,1474,1272,502,2,3,2,2,2,562,297,2,3,2,2,2,2,3,2,2,2,2,3
473,1421,0,2168,531,2,2,2,543,965,1732,836,2,2,2,2,2,3,393,2,2,2,2,2,3,2,2,2,2,2,2,2
2175,0,1421,328,2,32,2,2,2092,1609,646,3,2,2,2,3,532,340,2,2,2,2,2,2,2,2,2,2,2,27,2,2
0,2175,473,4,84,2,2,2,2092,704,2,2,2,2,2,2,454,2,2,2,2,2,2,2,45,2,2,3,45,3,45,45
