2,4,270,2,2,2,16,2,2,2,2,2,2,2,13,98,20,13,2,2,2,2,2,2,2,175,2,2,2,2,126,61,283,2,43,335,2,2,3,2,2,2,2,5,2,2,2,2,2,2,2,4,33,70,5,98,3,10,6,292,8,13,6,0
2,2,4,2,2,1,2,2,2,2,146,2,331,135,2,3,2,2,2,74,2,2,2,2,2,48,2,2,2,354,1,2,4,2,2,2,3,2,70,2,2,17,2,2,4,310,2,2,187,2,2,2,2,8,321,5,4,4,6,8,21,10,0,6
346,81,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,3,2,2,5,2,2,25,3,2,2,2,2,2,2,246,2,2,319,2,2,149,2,359,10,2,309,15,145,2,5,2,2,2,4,2,6,4,4,4,72,93,4,23,17,0,10,13
9,5,2,2,2,2,2,61,2,2,303,2,10,279,2,58,2,2,3,2,2,22,2,2,302,1,2,2,2,154,2,2,2,2,3,2,2,3,2,12,2,2,2,2,74,117,2,2,471,2,2,2,2,3,7,63,5,5,6,16,0,17,21,8
21,2,34,2,2,77,2,2,2,2,2,2,1,2,225,6,2,2,2,2,2,2,2,23,2,8,2,2,2,2,391,259,200,2,4,123,3,3,2,62,2,4,2,81,3,2,2,2,2,2,2,2,268,3,6,24,4,5,7,0,16,23,8,292
2,61,2,157,304,8,2,25,2,2,2,2,38,2,2,2,2,2,2,2,34,2,79,2,3,2,2,2,11,3,2,2,2,12,6,2,170,2,2,3,293,305,2,2,2,2,2,3,5,232,13,359,10,4,6,4,63,16,0,7,6,4,6,6
3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,481,2,2,28,2,335,1,2,2,126,2,2,2,3,2,2,2,2,2,351,151,2,2,3,2,2,2,5,2,2,2,2,2,2,5,61,10,12,5,5,10,8,0,16,5,5,93,4,10
2,4,80,27,14,2,2,6,2,2,2,2,2,2,2,4,2,2,176,2,58,2,12,2,4,2,2,2,2,2,2,2,2,174,2,2,2,52,2,2,303,3,314,39,3,2,2,2,12,2,293,2,4,486,7,17,0,8,63,4,5,72,4,3
2,280,2,3,15,3,2,2,2,3,2,2,2,2,2,15,2,2,1,4,151,315,2,2,270,2,2,121,2,2,2,2,2,2,160,387,2,2,2,2,2,2,2,95,2,2,2,75,10,2,3,2,2,12,11,0,17,10,4,24,63,4,5,98
2,3,2,2,2,2,73,2,26,2,2,2,11,27,2,2,2,3,2,303,2,145,2,2,2,2,128,10,240,109,2,3,2,4,4,3,2,2,336,2,2,2,2,3,2,75,2,277,24,2,2,4,7,16,0,11,7,5,6,6,7,4,321,5
2,2,289,2,2,27,2,42,2,83,2,2,2,3,2,2,3,2,336,2,14,2,46,3,3,2,2,2,2,2,2,2,2,277,2,2,2,2,2,2,105,2,2,2,2,2,2,45,10,2,216,6,77,0,16,12,486,5,4,3,3,4,8,70
2,2,329,5,2,290,2,2,2,2,2,2,2,2,370,2,2,2,2,2,2,2,2,2,2,146,17,2,2,2,170,75,4,2,3,11,66,10,2,6,2,4,2,2,2,14,5,6,4,55,5,13,0,77,7,2,4,12,10,268,2,6,2,33
7,3,2,434,19,210,2,3,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,6,2,2,2,2,2,5,2,15,110,2,4,74,176,3,2,4,3,2,12,7,382,6,0,13,6,4,2,2,10,359,2,2,2,2,4
2,63,35,2,30,3,2,214,2,13,2,2,2,2,2,5,4,2,310,2,273,7,370,3,2,2,3,2,2,2,2,2,2,90,2,2,2,2,5,2,122,2,81,2,2,12,12,5,7,11,0,6,5,216,2,3,293,61,13,2,2,4,2,2
2,2,8,193,5,330,2,2,2,2,2,2,65,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,325,2,4,2,2,2,4,2,58,2,2,2,2,303,2,2,4,4,16,69,10,0,11,382,55,2,2,2,2,5,232,2,2,2,2,2
2,2,2,2,3,2,2,284,3,2,35,2,310,282,1,7,2,2,84,2,2,3,14,2,49,2,2,2,2,363,2,2,2,61,2,2,13,2,2,2,3,103,2,2,2,3,7,33,0,10,7,7,4,10,24,10,12,2,5,2,471,2,187,2
2,5,2,2,2,2,2,103,2,2,2,2,2,2,3,2,2,2,4,161,2,301,145,2,7,2,11,2,289,2,2,2,2,247,2,6,4,3,165,3,2,2,2,2,2,9,14,0,33,69,5,12,6,45,277,75,2,2,3,2,2,2,2,2
2,2,3,3,15,75,374,4,150,291,2,15,2,3,2,3,22,153,73,4,2,2,3,306,2,2,2,2,2,2,2,2,2,2,2,2,313,2,2,87,2,74,3,2,5,18,0,14,7,16,12,2,5,2,2,2,2,2,2,2,2,5,2,2
2,2,6,2,2,1,2,2,100,2,347,14,183,270,70,2,2,2,12,4,2,6,2,2,18,318,2,2,2,3,2,2,87,3,2,2,4,2,2,2,3,3,7,5,18,0,18,9,3,4,12,3,14,2,75,2,2,2,2,2,117,2,310,2
25,2,2,24,2,2,2,2,2,2,260,2,54,51,2,3,3,2,5,2,2,3,2,60,137,2,2,95,6,2,3,28,2,2,4,3,2,170,5,278,15,2,426,314,0,18,5,2,2,4,2,4,2,2,2,2,3,2,2,3,74,145,4,2
140,2,2,16,2,3,2,2,2,2,69,2,4,2,2,3,2,2,2,2,2,70,2,2,2,2,2,302,55,2,2,262,2,3,2,3,2,297,3,14,17,15,194,0,314,5,2,2,2,2,2,2,2,2,3,95,39,2,2,81,2,15,2,5
59,4,2,92,2,2,3,2,2,2,3,2,2,2,2,4,2,2,13,2,28,7,2,2,2,2,2,2,2,2,2,11,3,2,73,1,2,250,6,156,82,6,0,194,426,7,3,2,2,2,81,3,2,2,2,2,314,5,2,2,2,309,2,2
2,2,2,31,153,15,4,63,2,8,59,2,252,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,99,21,2,2,2,3,2,6,289,5,10,18,18,0,6,15,2,3,74,2,103,303,2,176,4,2,2,2,3,2,305,4,2,2,17,2
2,2,4,2,71,2,2,218,2,2,2,2,2,2,2,2,2,2,11,2,2,3,360,2,4,2,2,2,2,2,3,2,2,426,2,4,2,3,2,17,0,18,82,17,15,3,2,2,3,2,122,74,2,105,2,2,303,2,293,2,2,10,2,2
276,2,2,2,3,2,2,2,2,2,62,2,3,2,3,133,71,2,2,2,2,2,2,257,2,1,2,3,2,2,4,311,9,2,43,8,12,103,10,0,17,18,156,14,278,2,87,3,2,2,2,4,6,2,2,2,2,2,3,62,12,359,2,2
2,2,2,1,2,2,2,2,2,2,2,2,2,2,67,6,2,2,5,3,2,29,2,2,2,5,384,137,388,2,4,4,4,6,3,4,10,12,0,10,2,10,6,3,5,2,2,165,2,2,5,2,2,2,336,2,2,3,2,2,2,2,70,3
423,13,2,305,48,18,2,2,2,2,25,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,4,2,3,3,193,12,3,19,17,14,0,12,103,3,5,250,297,170,2,2,3,2,2,2,110,10,2,2,2,52,2,2,3,3,149,2,2
2,2,2,136,285,309,2,2,6,82,2,2,70,2,2,3,2,2,21,2,2,3,2,70,2,2,2,2,9,2,3,5,6,2,6,13,0,14,10,12,2,289,2,2,2,4,313,4,13,58,2,15,66,2,2,2,2,2,170,3,2,2,3,2
2,200,66,3,10,3,2,2,2,4,2,2,4,2,2,257,52,2,2,5,19,52,2,2,9,17,2,24,2,2,8,77,34,4,308,0,13,17,4,8,4,6,1,3,3,2,2,6,2,2,2,2,11,2,3,387,2,151,2,123,2,2,2,335
121,279,2,5,61,2,1,2,2,2,2,2,2,2,2,236,8,2,2,3,134,2,2,7,57,2,2,2,4,5,10,37,9,13,0,308,6,19,3,43,2,2,73,2,4,2,2,2,2,4,2,5,3,2,4,160,2,351,6,4,3,319,2,43
2,2,85,2,2,2,2,351,2,3,2,2,2,3,2,2,2,2,81,2,2,63,263,7,6,2,2,2,81,4,16,15,12,0,13,4,2,3,6,2,426,3,2,3,2,3,2,247,61,2,90,2,2,277,4,2,174,2,12,2,2,2,2,2
2,2,125,2,2,2,76,2,2,2,3,71,2,7,164,9,8,293,2,2,2,2,2,3,2,415,2,3,3,4,336,20,0,12,9,34,6,12,4,9,2,2,3,2,2,87,2,2,2,2,2,2,4,2,2,2,2,2,2,200,2,2,4,283
398,2,2,2,2,9,2,2,2,2,3,2,3,4,2,2,3,2,2,3,2,5,4,73,2,2,2,75,3,10,28,0,20,15,37,77,5,193,4,311,2,2,11,262,28,2,2,2,2,2,2,2,75,2,3,2,2,2,2,259,2,246,2,61
2,2,13,2,2,2,2,2,2,2,2,2,2,3,382,4,2,71,2,2,2,2,2,15,10,19,95,2,4,10,0,28,336,16,10,8,3,3,4,4,3,2,2,2,3,2,2,2,2,4,2,2,170,2,2,2,2,2,2,391,2,2,1,126
3,2,2,2,2,2,3,2,89,2,87,12,186,330,2,2,2,2,2,31,2,2,2,11,12,2,2,8,12,0,10,10,4,4,5,2,2,3,2,2,2,21,2,2,2,3,2,2,363,2,2,2,2,2,109,2,2,2,3,2,154,2,354,2
2,2,2,2,3,68,2,2,3,2,2,2,40,2,2,2,2,2,2,4,2,4,7,10,11,5,253,336,0,12,4,3,3,81,4,2,9,2,388,2,2,99,2,55,6,2,2,289,2,325,2,6,2,2,240,2,2,3,11,2,2,2,2,2
